Time,ASET_5_BAS,ASET_5_SMT,ASET_5_SMT_MEA,ASET_5_RSM,ASET_10_BAS,ASET_10_SMT,ASET_10_SMT_MEA,ASET_10_RSM
18,197.35,213.33,,198.22,183.50,195.90,,210.76
0,197.35,215.00,,236.59,183.50,189.30,,232.84
1,197.35,189.15,,234.96,183.50,168.12,,215.79
2,197.35,184.17,,189.03,183.50,172.51,,191.36
3,197.35,203.37,,203.01,183.50,181.73,,208.17
4,197.35,171.74,CDW[-0.9451]||EX[0.1599]||HRR[-1375.7722]||SY[-0.2206],169.02,183.50,163.46,CDW[-1.1799]||EX[0.1654]||HRR[-1084.0050]||SY[0.7384],165.46
5,197.35,142.80,CDW[-2.0130]||EX[0.3406]||HRR[-2930.4324]||SY[-0.4699],164.12,183.50,136.68,CDW[-2.7565]||EX[0.3865]||HRR[-2532.5905]||SY[1.7252],153.60
6,197.35,192.48,,199.30,183.50,186.16,,195.70
7,197.35,199.86,,265.89,183.50,174.92,,244.91
8,197.35,217.28,CDW[0.7355]||EX[-0.1244]||HRR[1070.6420]||SY[0.1717],233.92,183.50,195.43,,230.07
9,197.35,164.93,CDW[-1.1964]||EX[0.2024]||HRR[-1741.6062]||SY[-0.2792],165.34,183.50,158.65,CDW[-1.4631]||EX[0.2052]||HRR[-1344.1878]||SY[0.9157],168.56
10,197.35,167.85,CDW[-1.0886]||EX[0.1842]||HRR[-1584.7435]||SY[-0.2541],175.01,183.50,156.94,CDW[-1.5637]||EX[0.2193]||HRR[-1436.6852]||SY[0.9787],177.10
11,197.35,190.81,,203.13,183.50,171.05,,203.20
