OutputAlias, InputAlias, a, b, r_sqr, s_sqr, OutputBaseValue
ASET_5,CDW,186.84,-0.14,0.969177,0.000104,197.35
ASET_10,CDW,178.14,-0.09,0.982881,0.000022,183.50
ASET_5,HRR,1781.20,-0.28,0.984451,0.000138,197.35
ASET_10,HRR,1294.26,-0.24,0.979911,0.000139,183.50
ASET_5,SY,119.33,-0.17,0.868544,0.001496,197.35
ASET_10,SY,150.76,-0.07,0.918140,0.000137,183.50
ASET_5,EX,271.24,0.21,0.806874,0.004285,197.35
ASET_10,EX,257.20,0.20,0.842040,0.003060,183.50
ASET_5,CDW+SY+EX+HRR,1139.62,0.87,0.901035,0.005312,197.35
ASET_10,CDW+SY+EX+HRR,1872.58,1.13,0.984027,0.000803,183.50
